Year i_index j_index k_index x_coord_m y_coord_m z_coord_m Gas_Saturation
2030-Jan-01 1 1 13 16666 17840.6 1063.22 -9999
2030-Jan-01 2 1 13 16832.1 17840.6 1055.46 -9999
2030-Jan-01 3 1 13 16998.1 17840.6 1046.93 -9999
2030-Jan-01 4 1 13 17164.2 17840.6 1047.23 -9999
2030-Jan-01 5 1 13 17330.3 17840.6 1047.47 1e-06
2030-Jan-01 6 1 13 17496.3 17840.6 1051.53 1e-06
2030-Jan-01 7 1 13 17662.4 17840.6 1057.29 1e-06
2030-Jan-01 8 1 13 17828.5 17840.6 1056.58 1e-06
2030-Jan-01 9 1 13 17994.5 17840.6 1057.43 -9999
2030-Jan-01 10 1 13 18160.6 17840.6 1061.8 -9999
2030-Jan-01 11 1 13 18326.7 17840.6 1063.5 -9999
2030-Jan-01 12 1 13 18492.7 17840.6 1062.64 -9999
2030-Jan-01 13 1 13 18658.8 17840.6 1060.59 -9999
2030-Jan-01 14 1 13 18824.9 17840.6 1061.85 -9999
2030-Jan-01 15 1 13 18990.9 17840.6 1058.75 -9999
2030-Jan-01 16 1 13 19157 17840.6 1046.72 -9999
2030-Jan-01 17 1 13 19323.1 17840.6 1033.31 -9999
2030-Jan-01 18 1 13 19489.1 17840.6 1000.63 -9999
2030-Jan-01 19 1 13 19655.2 17840.6 975.779 -9999
2030-Jan-01 20 1 13 19821.3 17840.6 996.64 -9999
2030-Jan-01 21 1 13 19987.3 17840.6 1016.1 -9999
2030-Jan-01 22 1 13 20153.4 17840.6 1020.62 -9999
2030-Jan-01 23 1 13 20319.5 17840.6 1034.69 -9999
2030-Jan-01 24 1 13 20485.5 17840.6 1048.21 -9999
2030-Jan-01 25 1 13 20651.6 17840.6 1063.25 -9999
2030-Jan-01 26 1 13 20817.7 17840.6 1075.74 -9999
2030-Jan-01 27 1 13 20983.7 17840.6 1078.23 -9999
2030-Jan-01 28 1 13 21149.8 17840.6 1078 -9999
2030-Jan-01 29 1 13 21315.9 17840.6 1076.08 -9999
2030-Jan-01 30 1 13 21481.9 17840.6 1073.87 -9999
2030-Jan-01 31 1 13 21648 17840.6 1071.91 -9999
2030-Jan-01 32 1 13 21814.1 17840.6 1070.89 -9999
2030-Jan-01 33 1 13 21980.1 17840.6 1069.91 -9999
2030-Jan-01 34 1 13 22146.2 17840.6 1069.86 -9999
2030-Jan-01 35 1 13 22312.3 17840.6 1070.4 -9999
2030-Jan-01 36 1 13 22478.3 17840.6 1072.33 -9999
2030-Jan-01 37 1 13 22644.4 17840.6 1072.77 -9999
2030-Jan-01 38 1 13 22810.4 17840.6 1070.82 -9999
2030-Jan-01 1 2 13 16666 17997.9 1058.94 -9999
2030-Jan-01 2 2 13 16832.1 17997.9 1051.98 -9999
2030-Jan-01 3 2 13 16998.1 17997.9 1046.78 1e-06
2030-Jan-01 4 2 13 17164.2 17997.9 1047.52 1e-06
2030-Jan-01 5 2 13 17330.3 17997.9 1049.37 1e-06
